Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
452591,"ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN N.C.P., EXCEPTO MONTAJES INDUSTRIALES",439999,Actividades especializadas de construcción n.c.p.
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
452592,MONTAJES INDUSTRIALES,439999,Actividades especializadas de construcción n.c.p.
452900,OBRAS DE INGENIERÍA CIVIL N.C.P.,429090,Construcción de obras de ingeniería civil n.c.p.
453110,"INSTALACIÓN DE ASCENSORES, MONTACARGAS Y  ESCALERAS MECÁNICAS",432910,"Instalaciones de ascensores, montacargas y escaleras mecánicas"
453120,"INSTALACIÓN DE SISTEMAS DE ILUMINACIÓN, CONTROL Y SEÑALIZACIÓN ELÉCTRICA PARA ELTRANSPORTE",432110,"Instalación de sistemas de iluminación, control y señalización eléctrica para el transporte"
453190,EJECUCIÓN Y MANTENIMIENTO DE INSTALACIONES ELÉCTRICAS Y ELECTRÓNICAS N.C.P.,432190,"Instalación, ejecución y mantenimiento de instalaciones eléctricas, electromecánicas yelectrónicas n.c.p."
453200,"AISLAMIENTO TÉRMICO, ACÚSTICO, HÍDRICO Y ANTIVIBRATORIO",432920,"Aislamiento térmico, acústico, hídrico y antivibratorio"
453300,"INSTALACIONES DE GAS, AGUA, SANITARIOS Y DE CLIMATIZACIÓN, CON SUS ARTEFACTOSCONEXOS",432200,"Instalaciones de gas, agua, sanitarios y de climatización, con sus artefactos conexos"
453900,INSTALACIONES PARA EDIFICIOS Y OBRAS DE INGENIERÍA CIVIL N.C.P.,432990,Instalaciones para edificios y obras de ingeniería civil n.c.p.
454100,"INSTALACIONES DE CARPINTERÍA, HERRERÍA DE OBRA Y ARTÍSTICA",433010,"Instalaciones de carpintería, herrería de obra y artística"
454200,TERMINACIÓN Y REVESTIMIENTO DE PAREDES Y PISOS,433020,Terminación y revestimiento de paredes y pisos
454300,COLOCACIÓN DE CRISTALES EN OBRA,433030,Colocación de cristales en obra
454400,PINTURA Y TRABAJOS DE DECORACIÓN,433040,Pintura y trabajos de decoración
454900,TERMINACIÓN DE EDIFICIOS Y OBRAS DE INGENIERÍA CIVIL N.C.P.,433090,Terminación de edificios n.c.p.
455000,ALQUILER DE EQUIPO DE CONSTRUCCIÓN O DEMOLICIÓN DOTADO DE OPERARIOS,439100,Alquiler de equipo de construcción o demolición dotado de operarios
456000,DESARROLLOS URBANOS,439998,Desarrollos Urbanos
501111,"VENTA DE AUTOS, CAMIONETAS Y UTILITARIOS, NUEVOS EXCEPTO EN COMISION",451111,"Venta de autos, camionetas y utilitarios nuevos excepto en comisión"
501112,"VENTA EN COMISION DE AUTOS, CAMIONETAS Y UTILITARIOS, NUEVOS",451112,"Venta en comisión de autos, camionetas y utilitarios nuevos"
501191,"VENTA DE VEHÍCULOS AUTOMOTORES, NUEVOS N.C.P. EXCEPTO EN COMISION",451191,Venta de vehículos automotores nuevos n.c.p.
501192,"VENTA EN COMISION DE VEHÍCULOS AUTOMOTORES NUEVOS, N.C.P.",451192,Venta en comisión de vehículos automotores nuevos n.c.p.
501211,"VENTA DE AUTOS, CAMIONETAS Y UTILITARIOS USADOS, EXCEPTO EN COMISIÓN",451211,"Venta de autos, camionetas y utilitarios, usados, excepto en comisión"
501212,"VENTA EN COMISION DE AUTOS, CAMIONETAS Y UTILITARIOS USADOS",451212,"Venta en comisión de autos, camionetas y utilitarios, usados"
501291,VENTA DE VEHÍCULOS AUTOMOTORES USADOS N.C.P.EXCEPTO EN COMISION,451291,Venta de vehículos automotores usados n.c.p. excepto en comisión
501292,VENTA EN COMISION DE VEHÍCULOS AUTOMOTORES USADOS N.C.P.,451292,Venta en comisión de vehículos automotores usados n.c.p.
502100,LAVADO AUTOMÁTICO Y MANUAL,452101,Lavado automático y manual de vehículos automotores
502210,REPARACION DE CAMARAS Y CUBIERTAS,452210,Reparación de cámaras y cubiertas
502220,"REPARACIÓN DE AMORTIGUADORES,  ALINEACIÓN DE DIRECCIÓN Y BALANCEO DE RUEDAS",452220,"Reparación de amortiguadores, alineación de dirección y balanceo de ruedas"
502300,"INSTALACIÓN Y REPARACIÓN DE PARABRISAS, LUNETAS Y VENTANILLAS, ALARMAS,CERRADURAS, RADIOS, SISTEMAS DE CLIMATIZACIÓN AUTOMOTOR Y GRABADO DE CRISTALES",452300,"Instalación y reparación de parabrisas, lunetas y ventanillas, cerraduras no eléctricas y grabadode cristales"
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
502300,"INSTALACIÓN Y REPARACIÓN DE PARABRISAS, LUNETAS Y VENTANILLAS, ALARMAS,CERRADURAS, RADIOS, SISTEMAS DE CLIMATIZACIÓN AUTOMOTOR Y GRABADO DE CRISTALES",452401,"Reparaciones eléctricas del tablero e instrumental; reparación y recarga de baterías; instalaciónde alarmas, radios, sistemas de climatización"
502400,TAPIZADO Y RETAPIZADO,452500,Tapizado y retapizado de automotores
502500,"REPARACIONES ELÉCTRICAS, DEL TABLERO E INSTRUMENTAL; REPARACIÓN Y RECARGA DEBATERÍAS",452401,"Reparaciones eléctricas del tablero e instrumental; reparación y recarga de baterías; instalaciónde alarmas, radios, sistemas de climatización"
502600,"REPARACIÓN Y PINTURA DE CARROCERÍAS; COLOCACIÓN Y REPARACIÓN DE GUARDABARROS YPROTECCIONES EXTERIORES",452600,"Reparación y pintura de carrocerías; colocación y reparación de guardabarros y proteccionesexteriores"
502910,INSTALACIÓN Y REPARACIÓN DE CAÑOS DE ESCAPE,452700,Instalación y reparación de caños de escape y radiadores
502920,MANTENIMIENTO Y REPARACIÓN DE FRENOS,452800,Mantenimiento y reparación de frenos y embragues
502990,MANTENIMIENTO Y REPARACIÓN DEL MOTOR N.C.P.; MECÁNICA INTEGRAL,452910,Instalación y reparación de equipos de GNC
502990,MANTENIMIENTO Y REPARACIÓN DEL MOTOR N.C.P.; MECÁNICA INTEGRAL,452990,Mantenimiento y reparación del motor n.c.p.; mecánica integral
503100,"VENTA AL POR MAYOR DE PARTES, PIEZAS Y ACCESORIOS DE VEHÍCULOS  AUTOMOTORES",453100,"Venta al por mayor de partes, piezas y accesorios de vehículos automotores"
503210,VENTA AL POR MENOR DE CÁMARAS Y CUBIERTAS,453210,Venta al por menor de cámaras y cubiertas
503220,VENTA AL POR MENOR DE BATERÍAS,453220,Venta al por menor de baterías
503290,"VENTA AL POR MENOR DE PARTES, PIEZAS Y ACCESORIOS EXCEPTO CÁMARAS Y CUBIERTAS YBATERÍAS",453291,"Venta al por menor de partes, piezas y accesorios nuevos n.c.p."
503290,"VENTA AL POR MENOR DE PARTES, PIEZAS Y ACCESORIOS EXCEPTO CÁMARAS Y CUBIERTAS YBATERÍAS",453292,"Venta al por menor de partes, piezas y accesorios usados n.c.p."
504011,"VENTA DE MOTOCICLETAS Y DE SUS PARTES, PIEZAS Y ACCESORIOS EXCEPTO EN COMISION",454011,"Venta de motocicletas y de sus partes, piezas y accesorios, excepto en comisión"
504012,"VENTA EN COMISION DE MOTOCICLETAS Y DE SUS PARTES, PIEZAS Y ACCESORIOS",454012,"Venta en comisión de motocicletas y de sus partes, piezas y accesorios"
504020,MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS,454020,Mantenimiento y reparación de motocicletas
505003,VENTA AL POR MENOR DE LUBRICANTES PARA VEHÍCULOS AUTOMOTORES Y  MOTOCICLETAS,473001,"Venta al por menor de combustible para vehículos automotores y motocicletas, excepto encomisión"
505004,"VENTA AL POR MENOR DE COMBUSTIBLE DE PRODUCCIÓN PROPIA COMPRENDIDOS EN LA LEY11244 PARA VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS",473002,"Venta al por menor de combustible de producción propia comprendidos en la Ley N° 23.966para vehículos automotores y motocicletas"
505008,"VENTA AL POR MENOR DE COMBUSTIBLES NCP COMPRENDIDOS EN LA LAY 11244 PARAVEHÍCULOS AUTOMOTORES Y MOTOCICLETAS",473003,"Venta al por menor de combustibles n.c.p. comprendidos en la Ley N° 23966 para vehículosautomotores y motocicletas"
505009,"VENTA AL POR MENOR DE COMBUSTIBLES PARA VEHÍCULOS AUTOMOTORES Y MOTOCICLETASNCP",473009,Venta en comisión al por menor de combustible para vehículos automotores y motocicletas
511110,VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE PRODUCTOS AGRÍCOLAS,461011,"Venta al por mayor en comisión o consignación de cereales (incluye arroz), oleaginosas yforrajeras excepto semillas"
511110,VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE PRODUCTOS AGRÍCOLAS,461012,Venta al por mayor en comisión o consignación de semillas
511110,VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE PRODUCTOS AGRÍCOLAS,461013,Venta al por mayor en comisión o consignación de frutas
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
511110,VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE PRODUCTOS AGRÍCOLAS,461014,"Acopio y acondicionamiento en comisión o consignación de cereales (incluye arroz), oleaginosasy forrajeras excepto semillas"
511110,VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE PRODUCTOS AGRÍCOLAS,461019,Venta al por mayor en comisión o consignación de productos agrícolas n.c.p.
511120,VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE PRODUCTOS PECUARIOS,461021,Venta al por mayor en comisión o consignación de ganado bovino en pie
511120,VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE PRODUCTOS PECUARIOS,461022,Venta al por mayor en comisión o consignación de ganado en pie excepto bovino
511120,VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE PRODUCTOS PECUARIOS,461029,Venta al por mayor en comisión o consignación de productos pecuarios n.c.p.
511911,"VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE ALIMENTOS, BEBIDAS Y TABACO",461039,"Venta al por mayor en comisión o consignación de alimentos, bebidas y tabaco n.c.p."
511912,VENTA AL POR MAYOR EN COMISION O CONSIGNACION DE CARNE,461031,Operaciones de intermediación de carne - consignatario directo -
511912,VENTA AL POR MAYOR EN COMISION O CONSIGNACION DE CARNE,461032,Operaciones de intermediación de carne excepto consignatario directo
511920,"VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE PRODUCTOS TEXTILES,PRENDAS DEVESTIR, CALZADO EXCEPTO EL ORTOPÉDICO,  ARTÍCULOS DE MARROQUINERÍA, PARAGUAS YSIMILARES Y PRODUCTOS DE CUERO N.C.P.",461091,"Venta al por mayor en comisión o consignación de productos textiles, prendas de vestir, calzadoexcepto el ortopédico, artículos de marroquinería, paraguas y similares y productos de cueron.c.p."
511930,"VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE  MADERA Y MATERIALES PARA LACONSTRUCCIÓN",461092,Venta al por mayor en comisión o consignación de madera y materiales para la construcción
511940,"VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE ENERGÍA ELÉCTRICA, GAS YCOMBUSTIBLE",351310,Comercio mayorista de energía eléctrica
511940,"VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE ENERGÍA ELÉCTRICA, GAS YCOMBUSTIBLE",461040,Venta al por mayor en comisión o consignación de combustibles
511950,"VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE MINERALES, METALES YPRODUCTOS QUÍMICOS INDUSTRIALES",461093,"Venta al por mayor en comisión o consignación de minerales, metales y productos químicosindustriales"
511960,"VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE  MAQUINARIA, EQUIPOPROFESIONAL INDUSTRIAL Y COMERCIAL, EMBARCACIONES Y AERONAVES",461094,"Venta al por mayor en comisión o consignación de maquinaria, equipo profesional industrial ycomercial, embarcaciones y aeronaves"
511970,"VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE PAPEL, CARTÓN, LIBROS, REVISTAS,DIARIOS, MATERIALES DE EMBALAJE Y ARTÍCULOS DE LIBRERÍA",461095,"Venta al por mayor en comisión o consignación de papel, cartón, libros, revistas, diarios,materiales de embalaje y artículos de librería"
511990,VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE  MERCADERÍAS N.C.P.,461099,Venta al por mayor en comisión o consignación de mercaderías n.c.p.
512111,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRÍCOLAS Y DE LA SILVICULTURA,462110,"Acopio de otros productos agropecuarios, excepto cereales"
512111,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRÍCOLAS Y DE LA SILVICULTURA,462131,"Venta al por mayor de cereales (incluye arroz), oleaginosas y forrajeras excepto semillas"
512111,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRÍCOLAS Y DE LA SILVICULTURA,462132,"Acopio y acondicionamiento de cereales y semillas, excepto de algodón y semillas y granos paraforrajes"
512111,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRÍCOLAS Y DE LA SILVICULTURA,462190,Venta al por mayor de materias primas agrícolas y de la silvicultura n.c.p.
512112,COOPERATIVAS -ART 188 inc.g) y h) DEL CODIGO FISCAL  T.O.2011-,461018,Cooperativas -ART 188 inc.g) y h) DEL CODIGO FISCAL  T.O.2011-
512113,"COMERCIALIZACION DE PRODUCTOS AGRICOLAS EFECTUADA POR CUENTA PROPIA POR LOSACOPIADORES DE ESOS PRODUCTOS",461015,"Comercialización de productos agrícolas efectuada por cuenta propia por los acopiadores deesos productos."
512114,VENTA AL POR MAYOR DE SEMILLAS,462120,Venta al por mayor de semillas y granos para forrajes
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
512121,VENTA AL POR MAYOR DE MATERIAS PRIMAS PECUARIAS INCLUSO ANIMALES VIVOS,462201,"Venta al por mayor de lanas, cueros en bruto y productos afines"
512121,VENTA AL POR MAYOR DE MATERIAS PRIMAS PECUARIAS INCLUSO ANIMALES VIVOS,462209,Venta al por mayor de materias primas pecuarias n.c.p. incluso animales vivos
512122,"COMERCIALIZACION DE PRODUCTOS GANADEROS EFECTUADA POR CUENTA PROPIA POR LOSACOPIADORES DE ESOS PRODUCTOS",461023,"Comercialización de productos ganaderos efectuada por cuenta propia por los acopiadores deesos productos."
512210,"VENTA AL POR MAYOR DE FIAMBRES, QUESOS Y PRODUCTOS LACTEOS",463111,Venta al por mayor de productos lácteos
512210,"VENTA AL POR MAYOR DE FIAMBRES, QUESOS Y PRODUCTOS LACTEOS",463112,Venta al por mayor de fiambres y quesos
512220,"VENTA AL POR MAYOR DE CARNES ROJAS, MENUDENCIAS Y CHACINADOS FRESCOS;PRODUCTOS DE GRANJA Y DE LA CAZA",463121,Venta al por mayor de carnes rojas y derivados
512220,"VENTA AL POR MAYOR DE CARNES ROJAS, MENUDENCIAS Y CHACINADOS FRESCOS;PRODUCTOS DE GRANJA Y DE LA CAZA",463129,"Venta al por mayor de aves, huevos y productos de granja y de la caza n.c.p."
512222,MATARIFES,461033,Matarifes
512230,VENTA AL POR MAYOR DE PESCADO,463130,Venta al por mayor de pescado
512240,"VENTA POR MAYOR Y EMPAQUE DE FRUTAS, DE LEGUMBRES Y HORTALIZAS FRESCAS",463140,"Venta al por mayor y empaque de frutas, de legumbres y hortalizas frescas"
512250,"VENTA AL POR MAYOR DE PAN, PRODUCTOS DE CONFITERÍA Y PASTAS FRESCAS",463151,"Venta al por mayor de pan, productos de confitería y pastas frescas"
512260,"VENTA AL POR MAYOR DE CHOCOLATES, GOLOSINAS Y PRODUCTOS PARA KIOSCOS YPOLIRRUBROS N.C.P. EXCEPTO CIGARRILLOS",463160,"Venta al por mayor de chocolates, golosinas y productos para kioscos y polirrubros n.c.p.,excepto cigarrillos"
512270,"VENTA AL POR MAYOR DE ACEITES, AZÚCAR, CAFÉ, TE, YERBA MATE ELABORADA Y OTRASINFUSIONES, ESPECIAS, Y CONDIMENTOS Y PRODUCTOS DE MOLINERÍA",463152,Venta al por mayor de azúcar
512270,"VENTA AL POR MAYOR DE ACEITES, AZÚCAR, CAFÉ, TE, YERBA MATE ELABORADA Y OTRASINFUSIONES, ESPECIAS, Y CONDIMENTOS Y PRODUCTOS DE MOLINERÍA",463153,Venta al por mayor de aceites y grasas
512270,"VENTA AL POR MAYOR DE ACEITES, AZÚCAR, CAFÉ, TE, YERBA MATE ELABORADA Y OTRASINFUSIONES, ESPECIAS, Y CONDIMENTOS Y PRODUCTOS DE MOLINERÍA",463154,"Venta al por mayor de café, té, yerba mate y otras infusiones y especias y condimentos"
512270,"VENTA AL POR MAYOR DE ACEITES, AZÚCAR, CAFÉ, TE, YERBA MATE ELABORADA Y OTRASINFUSIONES, ESPECIAS, Y CONDIMENTOS Y PRODUCTOS DE MOLINERÍA",463159,Venta al por mayor de productos y subproductos de molinería n.c.p.
512290,VENTA AL POR MAYOR DE PRODUCTOS ALIMENTICIOS N.C.P.,463170,Venta al por mayor de alimentos balanceados para animales
512290,VENTA AL POR MAYOR DE PRODUCTOS ALIMENTICIOS N.C.P.,463180,Venta al por mayor en supermercados mayoristas de alimentos
512290,VENTA AL POR MAYOR DE PRODUCTOS ALIMENTICIOS N.C.P.,463191,"Venta al por mayor de frutas, legumbres y cereales secos y en conserva"
512290,VENTA AL POR MAYOR DE PRODUCTOS ALIMENTICIOS N.C.P.,463199,Venta al por mayor de productos alimenticios n.c.p.
512311,"VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS, EXCEPTO VINO Y CERVEZA",463212,Venta al por mayor de bebidas espiritosas
512311,"VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS, EXCEPTO VINO Y CERVEZA",463219,Venta al por mayor de bebidas alcohólicas n.c.p.
512312,VENTA AL POR MAYOR DE  VINO,463211,Venta al por mayor de vino
512313,VENTA AL POR MAYOR DE CERVEZA,463219,Venta al por mayor de bebidas alcohólicas n.c.p.
512320,VENTA AL POR MAYOR DE BEBIDAS NO ALCOHÓLICAS,463220,Venta al por mayor de bebidas no alcohólicas
512401,"VENTA AL POR MAYOR DE CIGARRILLOS Y PRODUCTOS DE TABACO, EXCEPTO CIGARROS",463300,Venta al por mayor de cigarrillos y productos de tabaco
512402,VENTA AL POR MAYOR DE CIGARROS,463300,Venta al por mayor de cigarrillos y productos de tabaco
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
513111,VENTA AL POR MAYOR DE ARTICULOS DE TAPICERIA; TAPICES Y ALFOMBRAS,464114,Venta al por mayor de tapices y alfombras de materiales textiles
513112,VENTA AL POR MAYOR DE ARTICULOS DE BOLSAS NUEVAS DE ARPILLERA Y DE YUTE,464119,Venta al por mayor de productos textiles n.c.p.
513119,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES EXCEPTO PRENDAS Y ACCESORIOS DE VESTIRN.C.P.",464111,Venta al por mayor de tejidos (telas)
513119,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES EXCEPTO PRENDAS Y ACCESORIOS DE VESTIRN.C.P.",464112,Venta al por mayor de artículos de mercería
513119,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES EXCEPTO PRENDAS Y ACCESORIOS DE VESTIRN.C.P.",464113,"Venta al por mayor de mantelería, ropa de cama y artículos textiles para el hogar"
513119,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES EXCEPTO PRENDAS Y ACCESORIOS DE VESTIRN.C.P.",464119,Venta al por mayor de productos textiles n.c.p.
513120,VENTA AL POR MAYOR DE PRENDAS Y ACCESORIOS DE VESTIR,464121,Venta al por mayor de prendas de vestir de cuero
513120,VENTA AL POR MAYOR DE PRENDAS Y ACCESORIOS DE VESTIR,464122,Venta al por mayor de medias y prendas de punto
513120,VENTA AL POR MAYOR DE PRENDAS Y ACCESORIOS DE VESTIR,464129,"Venta al por mayor de prendas y accesorios de vestir n.c.p., excepto uniformes y ropa de trabajo"
513120,VENTA AL POR MAYOR DE PRENDAS Y ACCESORIOS DE VESTIR,464150,Venta al por mayor de uniformes y ropa de trabajo
513130,VENTA AL POR MAYOR DE CALZADO EXCEPTO EL ORTOPÉDICO,464130,Venta al por mayor de calzado excepto el ortopédico
513140,"VENTA AL POR MAYOR DE ARTÍCULOS DE CUEROS, PIELES, MARROQUINERÍA Y TALABARTERÍA,PARAGUAS Y SIMILARES",464141,Venta al por mayor de pieles y cueros curtidos y salados
513140,"VENTA AL POR MAYOR DE ARTÍCULOS DE CUEROS, PIELES, MARROQUINERÍA Y TALABARTERÍA,PARAGUAS Y SIMILARES",464142,Venta al por mayor de suelas y afines
513140,"VENTA AL POR MAYOR DE ARTÍCULOS DE CUEROS, PIELES, MARROQUINERÍA Y TALABARTERÍA,PARAGUAS Y SIMILARES",464149,"Venta al por mayor de artículos de marroquinería, paraguas y productos similares n.c.p."
513210,"VENTA AL POR MAYOR DE LIBROS, REVISTAS Y DIARIOS",464211,Venta al por mayor de libros y publicaciones
513210,"VENTA AL POR MAYOR DE LIBROS, REVISTAS Y DIARIOS",464212,Venta al por mayor de diarios y revistas
513220,"VENTA AL POR MAYOR DE PAPEL, CARTÓN, MATERIALES DE EMBALAJE Y ARTÍCULOS DELIBRERÍA",464221,Venta al por mayor de papel y productos de papel y cartón excepto envases
513220,"VENTA AL POR MAYOR DE PAPEL, CARTÓN, MATERIALES DE EMBALAJE Y ARTÍCULOS DELIBRERÍA",464222,Venta al por mayor de envases de papel y cartón
513220,"VENTA AL POR MAYOR DE PAPEL, CARTÓN, MATERIALES DE EMBALAJE Y ARTÍCULOS DELIBRERÍA",464223,Venta al por mayor de artículos de librería y papelería
513311,"VENTA AL POR MAYOR DE PRODUCTOS FARMACÉUTICOS CUANDO SUS ESTABLECIMIENTOSESTEN UBICADOS EN LA PROV. DE BUENOS AIRES",464310,Venta al por mayor de productos farmacéuticos
513312,"VENTA AL POR MAYOR DE PRODUCTOS FARMACÉUTICOS  EXCEPTO CUANDO SUSESTABLECIMIENTOS ESTEN UBICADOS EN LA PROV. DE BUENOS AIRES",464310,Venta al por mayor de productos farmacéuticos
513313,VENTA AL POR MAYOR DE PRODUCTOS VETERINARIOS,464340,Venta al por mayor de productos veterinarios
513320,"VENTA AL POR MAYOR DE PRODUCTOS COSMÉTICOS, DE TOCADOR Y DE PERFUMERIA",464320,"Venta al por mayor de productos cosméticos, de tocador y de perfumería"
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
513330,"VENTA AL POR MAYOR DE INSTRUMENTAL MEDICO Y ODONTOLÓGICO Y ARTÍCULOSORTOPÉDICOS",464330,Venta al por mayor de instrumental médico y odontológico y artículos ortopédicos
513410,VENTA AL POR MAYOR DE ARTÍCULOS DE ÓPTICA Y DE FOTOGRAFÍA,464410,Venta al por mayor de artículos de óptica y de fotografía
513420,"VENTA AL POR MAYOR DE ARTÍCULOS DE RELOJERÍA, JOYERÍA Y FANTASÍAS",464420,"Venta al por mayor de artículos de relojería, joyería y fantasías"
513511,"VENTA AL POR MAYOR DE MUEBLES NO METALICOS, EXCEPTO DE OFICINA; ARTÍCULOS DEMIMBRE Y CORCHO; COLCHONES Y SOMIERES",464610,"Venta al por mayor de muebles excepto de oficina; artículos de mimbre y corcho; colchones ysomieres"
513512,"VENTA AL POR MAYOR DE MUEBLES METALICOS, EXCEPTO DE OFICINA",464610,"Venta al por mayor de muebles excepto de oficina; artículos de mimbre y corcho; colchones ysomieres"
513520,VENTA AL POR MAYOR DE ARTÍCULOS DE ILUMINACIÓN,464620,Venta al por mayor de artículos de iluminación
513530,VENTA AL POR MAYOR DE ARTÍCULOS DE BAZAR Y MENAJE,464631,Venta al por mayor de artículos de vidrio
513530,VENTA AL POR MAYOR DE ARTÍCULOS DE BAZAR Y MENAJE,464632,Venta al por mayor de artículos de bazar y menaje excepto de vidrio
513540,"VENTA AL POR MAYOR DE ARTEFACTOS PARA EL HOGAR, ELÉCTRICOS, A GAS, KEROSENE UOTROS COMBUSTIBLES",464501,"Venta al por mayor de electrodomésticos y artefactos para el hogar excepto equipos de audio yvideo"
513550,"VENTA AL POR MAYOR DE INSTRUMENTOS MUSICALES, EQUIPOS DE SONIDO, CASETES DEAUDIO Y VIDEO, Y DISCOS DE AUDIO Y VIDEO",464502,"Venta al por mayor de equipos de audio, video y televisión"
513550,"VENTA AL POR MAYOR DE INSTRUMENTOS MUSICALES, EQUIPOS DE SONIDO, CASETES DEAUDIO Y VIDEO, Y DISCOS DE AUDIO Y VIDEO",464910,Venta al por mayor de CD's y DVD's de audio y video grabados.
513910,VENTA AL POR MAYOR DE MATERIALES Y PRODUCTOS DE LIMPIEZA,464920,Venta al por mayor de materiales y productos de limpieza
513920,VENTA AL POR MAYOR DE JUGUETES,464930,Venta al por mayor de juguetes
513930,VENTA AL POR MAYOR DE BICICLETAS Y RODADOS SIMILARES,464940,Venta al por mayor de bicicletas y rodados similares
513941,VENTA AL POR MAYOR DE ARMAS Y MUNICIONES,464950,Venta al por mayor de artículos de esparcimiento y deportes
513949,"VENTA AL POR MAYOR DE ARTÍCULOS DE ESPARCIMIENTO Y DEPORTES, EXCEPTO ARMAS YMUNICIONES",464950,Venta al por mayor de artículos de esparcimiento y deportes
513950,"VENTA AL POR MAYOR DE PAPELES PARA PARED, REVESTIMIENTO PARA PISOS DE GOMA,PLÁSTICO Y TEXTILES,  Y ARTÍCULOS SIMILARES PARA LA DECORACIÓN",466370,"Venta al por mayor de papeles para pared, revestimiento para pisos de goma, plástico y textiles,y artículos similares para la decoración"
513990,VENTA AL POR MAYOR ARTÍCULOS DE USO DOMÉSTICO Y/O PERSONAL N.C.P,464991,Venta al por mayor de flores y plantas naturales y artificiales
513990,VENTA AL POR MAYOR ARTÍCULOS DE USO DOMÉSTICO Y/O PERSONAL N.C.P,464999,Venta al por mayor de artículos de uso doméstico o personal n.c.p
514111,"VENTA AL POR MAYOR DE COMBUSTIBLES PARA REVENTA COMPRENDIDOS EN LA LEY 1244PARA AUTOMOTORES",466111,"Venta al por mayor de combustibles para reventa comprendidos en la Ley N° 23.966 paraautomotores"
514112,"VENTA AL POR MAYOR DE COMBUSTIBLES (EXCEPTO PARA REVENTA) COMPRENDIDOS EN LALEY 11244, PARA AUTOMOTORES",466112,"Venta al por mayor de combustibles (excepto para reventa) comprendidos en la Ley N° 23.966,para automotores"
514119,VENTA AL POR MAYOR DE COMBUSTIBLES NCP Y LUBRICANTES PARA AUTOMOTORES,466119,Venta al por mayor de combustibles n.c.p. y lubricantes para automotores
514192,FRACCIONADORES DE GAS LICUADO,466121,Fraccionamiento y distribución de gas licuado
514193,VENTA AL POR MAYOR DE LUBRICANTES EXCEPTO PARA AUTOMOTORES,466129,"Venta al por mayor de combustibles, lubricantes, leña y carbón, excepto gas licuado ycombustibles y lubricantes para automotores"
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
514194,"VENTA AL POR MAYOR DE COMBUSTIBLE PARA REVENTA COMPRENDIDOS EN LA LEY 11244;EXCEPTO PARA AUTOMOTORES",466122,"Venta al por mayor de combustible para reventa comprendidos en la Ley N° 23.966; exceptopara automotores"
